Year,Month,Day,Hour,Minute,Second,HYY_META.PAR
2024,06,27,07,00,00,848.30884
2024,06,27,08,00,00,1075.05952
2024,06,27,09,00,00,1178.3252
2024,06,27,10,00,00,1389.4239
2024,06,27,11,00,00,1551.12869
2024,06,27,12,00,00,1468.72362
2024,06,27,13,00,00,1539.00313
2024,06,27,14,00,00,1427.0417
2024,06,27,15,00,00,1256.4075
2024,06,27,16,00,00,1052.8744
2024,06,27,17,00,00,811.31179
2024,06,27,18,00,00,565.18283
2024,06,27,19,00,00,338.62008
2024,06,27,20,00,00,154.356
2024,06,27,21,00,00,41.17696
2024,06,27,22,00,00,6.8846
2024,06,27,23,00,00,0.66247
2024,06,28,00,00,00,0.21513
2024,06,28,01,00,00,0.8599
2024,06,28,02,00,00,9.00232
2024,06,28,03,00,00,51.38726
2024,06,28,04,00,00,177.53282
2024,06,28,05,00,00,368.37507
2024,06,28,06,00,00,602.41287
2024,06,28,07,00,00,837.25196
2024,06,28,08,00,00,1066.41808
2024,06,28,09,00,00,1265.45588
2024,06,28,10,00,00,1342.75055
2024,06,28,11,00,00,1286.85064
2024,06,28,12,00,00,1567.706
2024,06,28,13,00,00,1313.21591
2024,06,28,14,00,00,1360.96597
2024,06,28,15,00,00,1099.35458
2024,06,28,16,00,00,809.04323
2024,06,28,17,00,00,554.22283
2024,06,28,18,00,00,494.32903
2024,06,28,19,00,00,265.82282
2024,06,28,20,00,00,149.35409
2024,06,28,21,00,00,39.39291
2024,06,28,22,00,00,5.54954
2024,06,28,23,00,00,0.4903
